,O3,state,county,month,geom
0,0.044,Alaska,Denali ,2017-12-01,
1,0.044,Alaska,Denali ,2018-11-01,
2,0.036,Alaska,Denali ,2019-09-01,
3,0.042,Alaska,Denali ,2017-09-01,
4,0.046,Alaska,Denali ,2019-06-01,
5,0.044,Alaska,Denali ,2019-07-01,
6,0.03,Alaska,Denali ,2016-08-01,
7,0.052,Alaska,Denali ,2019-02-01,
8,0.041,Alaska,Denali ,2019-10-01,
9,0.032,Alaska,Denali ,2018-08-01,
10,0.04,Alaska,Denali ,2017-10-01,
11,0.056,Alaska,Denali ,2016-03-01,
12,0.047,Alaska,Denali ,2019-12-01,
13,0.048,Alaska,Denali ,2016-10-01,
14,0.054,Alaska,Denali ,2019-04-01,
15,0.05,Alaska,Denali ,2017-03-01,
16,0.049,Alaska,Denali ,2017-05-01,
17,0.036,Alaska,Denali ,2019-08-01,
18,0.056,Alaska,Denali ,2019-03-01,
19,0.037,Alaska,Denali ,2018-07-01,
20,0.042,Alaska,Denali ,2018-12-01,
21,0.053,Alaska,Denali ,2019-05-01,
22,0.057,Alaska,Denali ,2018-04-01,
23,0.045,Alaska,Denali ,2017-01-01,
24,0.045,Alaska,Denali ,2018-06-01,
25,0.053,Alaska,Denali ,2018-03-01,
26,0.053,Alaska,Denali ,2017-04-01,
27,0.047,Alaska,Denali ,2016-01-01,
28,0.05,Alaska,Denali ,2018-02-01,
29,0.04,Alaska,Denali ,2016-11-01,
30,0.038,Alaska,Denali ,2017-06-01,
31,0.043,Alaska,Denali ,2018-09-01,
32,0.044,Alaska,Denali ,2016-06-01,
33,0.047,Alaska,Denali ,2017-02-01,
34,0.033,Alaska,Denali ,2017-08-01,
35,0.048,Alaska,Denali ,2018-10-01,
36,0.042,Alaska,Denali ,2016-12-01,
37,0.031,Alaska,Denali ,2016-07-01,
38,0.045,Alaska,Denali ,2016-02-01,
39,0.045,Alaska,Denali ,2016-05-01,
40,0.043,Alaska,Denali ,2018-01-01,
41,0.045,Alaska,Denali ,2019-01-01,
42,0.043,Alaska,Denali ,2019-11-01,
43,0.042,Alaska,Denali ,2017-11-01,
44,0.05,Alaska,Denali ,2016-04-01,
45,0.055,Alaska,Denali ,2018-05-01,
46,0.03,Alaska,Matanuska-Susitna ,2018-06-01,
47,0.042,Alaska,Matanuska-Susitna ,2017-03-01,
48,0.036,Alaska,Matanuska-Susitna ,2018-05-01,
49,0.028,Alaska,Matanuska-Susitna ,2016-08-01,
50,0.029,Alaska,Matanuska-Susitna ,2017-08-01,
51,0.04,Alaska,Matanuska-Susitna ,2016-01-01,
52,0.037,Alaska,Matanuska-Susitna ,2018-02-01,
53,0.033,Alaska,Matanuska-Susitna ,2018-01-01,
54,0.032,Alaska,Matanuska-Susitna ,2016-09-01,
55,0.051,Alaska,Matanuska-Susitna ,2018-03-01,
56,0.03,Alaska,Matanuska-Susitna ,2017-09-01,
57,0.046,Alaska,Matanuska-Susitna ,2017-04-01,
58,0.037,Alaska,Matanuska-Susitna ,2017-06-01,
59,0.021,Alaska,Matanuska-Susitna ,2018-08-01,
60,0.027,Alaska,Matanuska-Susitna ,2017-07-01,
61,0.029,Alaska,Matanuska-Susitna ,2018-11-01,
62,0.032,Alaska,Matanuska-Susitna ,2016-11-01,
63,0.04,Alaska,Matanuska-Susitna ,2017-02-01,
64,0.043,Alaska,Matanuska-Susitna ,2017-05-01,
65,0.036,Alaska,Matanuska-Susitna ,2016-06-01,
66,0.041,Alaska,Matanuska-Susitna ,2016-02-01,
67,0.026,Alaska,Matanuska-Susitna ,2018-07-01,
68,0.035,Alaska,Matanuska-Susitna ,2017-10-01,
69,0.044,Alaska,Matanuska-Susitna ,2016-05-01,
70,0.044,Alaska,Matanuska-Susitna ,2016-03-01,
71,0.044,Alaska,Matanuska-Susitna ,2018-04-01,
72,0.037,Alaska,Matanuska-Susitna ,2016-10-01,
73,0.034,Alaska,Matanuska-Susitna ,2016-12-01,
74,0.027,Alaska,Matanuska-Susitna ,2018-09-01,
75,0.032,Alaska,Matanuska-Susitna ,2018-10-01,
76,0.033,Alaska,Matanuska-Susitna ,2016-07-01,
77,0.038,Alaska,Matanuska-Susitna ,2017-01-01,
78,0.045,Alaska,Matanuska-Susitna ,2016-04-01,
79,0.04,Alaska,Fairbanks North Star ,2018-07-01,
80,0.05,Alaska,Fairbanks North Star ,2017-04-01,
81,0.036,Alaska,Fairbanks North Star ,2019-11-01,
82,0.023,Alaska,Fairbanks North Star ,2019-02-01,
83,0.047,Alaska,Fairbanks North Star ,2019-05-01,
84,0.042,Alaska,Fairbanks North Star ,2016-06-01,
85,0.029,Alaska,Fairbanks North Star ,2018-12-01,
86,0.03,Alaska,Fairbanks North Star ,2017-11-01,
87,0.036,Alaska,Fairbanks North Star ,2016-05-01,
88,0.032,Alaska,Fairbanks North Star ,2016-09-01,
89,0.037,Alaska,Fairbanks North Star ,2018-02-01,
90,0.023,Alaska,Fairbanks North Star ,2018-11-01,
91,0.04,Alaska,Fairbanks North Star ,2019-06-01,
92,0.031,Alaska,Fairbanks North Star ,2019-12-01,
93,0.035,Alaska,Fairbanks North Star ,2017-09-01,
94,0.045,Alaska,Fairbanks North Star ,2018-04-01,
95,0.036,Alaska,Fairbanks North Star ,2016-04-01,
96,0.039,Alaska,Fairbanks North Star ,2019-07-01,
97,0.029,Alaska,Fairbanks North Star ,2016-02-01,
98,0.019,Alaska,Fairbanks North Star ,2017-02-01,
99,0.036,Alaska,Fairbanks North Star ,2018-03-01,
100,0.048,Alaska,Fairbanks North Star ,2019-04-01,
101,0.033,Alaska,Fairbanks North Star ,2019-08-01,
102,0.035,Alaska,Fairbanks North Star ,2018-01-01,
103,0.029,Alaska,Fairbanks North Star ,2019-10-01,
104,0.044,Alaska,Fairbanks North Star ,2019-03-01,
105,0.036,Alaska,Fairbanks North Star ,2018-10-01,
106,0.03,Alaska,Fairbanks North Star ,2017-10-01,
107,0.049,Alaska,Fairbanks North Star ,2017-05-01,
108,0.029,Alaska,Fairbanks North Star ,2019-09-01,
109,0.038,Alaska,Fairbanks North Star ,2017-12-01,
110,0.04,Alaska,Fairbanks North Star ,2017-06-01,
111,0.035,Alaska,Fairbanks North Star ,2017-08-01,
112,0.027,Alaska,Fairbanks North Star ,2018-08-01,
113,0.041,Alaska,Fairbanks North Star ,2018-05-01,
114,0.031,Alaska,Fairbanks North Star ,2016-08-01,
115,0.026,Alaska,Fairbanks North Star ,2016-01-01,
116,0.035,Alaska,Fairbanks North Star ,2016-10-01,
117,0.03,Alaska,Fairbanks North Star ,2017-01-01,
118,0.043,Alaska,Fairbanks North Star ,2017-07-01,
119,0.03,Alaska,Fairbanks North Star ,2018-09-01,
120,0.036,Alaska,Fairbanks North Star ,2018-06-01,
121,0.023,Alaska,Fairbanks North Star ,2019-01-01,
122,0.026,Alaska,Fairbanks North Star ,2016-03-01,
123,0.038,Alaska,Fairbanks North Star ,2016-07-01,
124,0.062,Alabama,Tuscaloosa,2016-09-01,
125,0.054,Alabama,Tuscaloosa,2018-09-01,
126,0.066,Alabama,Tuscaloosa,2019-09-01,
127,0.054,Alabama,Tuscaloosa,2018-03-01,
128,0.049,Alabama,Tuscaloosa,2019-05-01,
129,0.053,Alabama,Tuscaloosa,2017-06-01,
130,0.062,Alabama,Tuscaloosa,2019-08-01,
131,0.075,Alabama,Tuscaloosa,2018-06-01,
132,0.059,Alabama,Tuscaloosa,2019-10-01,
133,0.065,Alabama,Tuscaloosa,2016-07-01,
134,0.051,Alabama,Tuscaloosa,2016-08-01,
135,0.057,Alabama,Tuscaloosa,2017-04-01,
136,0.044,Alabama,Tuscaloosa,2018-10-01,
137,0.065,Alabama,Tuscaloosa,2017-05-01,
138,0.057,Alabama,Tuscaloosa,2019-06-01,
139,0.059,Alabama,Tuscaloosa,2016-05-01,
140,0.063,Alabama,Tuscaloosa,2018-07-01,
141,0.057,Alabama,Tuscaloosa,2016-04-01,
142,0.053,Alabama,Tuscaloosa,2016-03-01,
143,0.059,Alabama,Tuscaloosa,2018-04-01,
144,0.06,Alabama,Tuscaloosa,2017-09-01,
145,0.053,Alabama,Tuscaloosa,2019-04-01,
146,0.07,Alabama,Tuscaloosa,2016-06-01,
147,0.051,Alabama,Tuscaloosa,2017-10-01,
148,0.058,Alabama,Tuscaloosa,2016-10-01,
149,0.056,Alabama,Tuscaloosa,2018-08-01,
150,0.052,Alabama,Tuscaloosa,2017-07-01,
151,0.058,Alabama,Tuscaloosa,2017-08-01,
152,0.054,Alabama,Tuscaloosa,2017-03-01,
153,0.054,Alabama,Tuscaloosa,2019-07-01,
154,0.063,Alabama,Tuscaloosa,2018-05-01,
155,0.072,Arizona,La Paz,2017-06-01,
156,0.055,Arizona,La Paz,2017-10-01,
157,0.044,Arizona,La Paz,2018-12-01,
158,0.05,Arizona,La Paz,2016-11-01,
159,0.061,Arizona,La Paz,2019-04-01,
160,0.053,Arizona,La Paz,2016-08-01,
161,0.058,Arizona,La Paz,2019-10-01,
162,0.069,Arizona,La Paz,2016-07-01,
163,0.043,Arizona,La Paz,2019-12-01,
164,0.071,Arizona,La Paz,2018-05-01,
165,0.062,Arizona,La Paz,2019-03-01,
166,0.068,Arizona,La Paz,2016-05-01,
167,0.072,Arizona,La Paz,2018-04-01,
168,0.054,Arizona,La Paz,2019-08-01,
169,0.047,Arizona,La Paz,2018-01-01,
170,0.048,Arizona,La Paz,2019-01-01,
171,0.062,Arizona,La Paz,2018-08-01,
172,0.044,Arizona,La Paz,2016-12-01,
173,0.049,Arizona,La Paz,2017-12-01,
174,0.054,Arizona,La Paz,2016-09-01,
175,0.067,Arizona,La Paz,2018-06-01,
176,0.064,Arizona,La Paz,2016-06-01,
177,0.06,Arizona,La Paz,2018-03-01,
178,0.05,Arizona,La Paz,2017-11-01,
179,0.06,Arizona,La Paz,2016-03-01,
180,0.062,Arizona,La Paz,2017-07-01,
181,0.062,Arizona,La Paz,2019-05-01,
182,0.067,Arizona,La Paz,2017-05-01,
183,0.052,Arizona,La Paz,2017-02-01,
184,0.059,Arizona,La Paz,2017-03-01,
185,0.057,Arizona,La Paz,2018-09-01,
186,0.052,Arizona,La Paz,2019-02-01,
187,0.069,Arizona,La Paz,2017-04-01,
188,0.055,Arizona,La Paz,2016-02-01,
189,0.047,Arizona,La Paz,2017-01-01,
190,0.052,Arizona,La Paz,2019-11-01,
191,0.07,Arizona,La Paz,2018-07-01,
192,0.05,Arizona,La Paz,2018-11-01,
193,0.06,Arizona,La Paz,2019-09-01,
194,0.063,Arizona,La Paz,2019-06-01,
195,0.061,Arizona,La Paz,2017-09-01,
196,0.057,Arizona,La Paz,2017-08-01,
197,0.071,Arizona,La Paz,2016-04-01,
198,0.054,Arizona,La Paz,2018-02-01,
199,0.063,Arizona,La Paz,2019-07-01,
200,0.055,Arizona,La Paz,2018-10-01,
201,0.048,Arizona,La Paz,2016-01-01,
202,0.072,Florida,Polk,2017-03-01,
203,0.045,Florida,Polk,2016-08-01,
204,0.067,Florida,Polk,2016-05-01,
205,0.049,Florida,Polk,2017-07-01,
206,0.042,Florida,Polk,2018-12-01,
207,0.061,Florida,Polk,2019-05-01,
208,0.062,Florida,Polk,2019-09-01,
209,0.059,Florida,Polk,2016-02-01,
210,0.052,Florida,Polk,2017-11-01,
211,0.064,Florida,Polk,2019-06-01,
212,0.048,Florida,Polk,2016-01-01,
213,0.042,Florida,Polk,2018-11-01,
214,0.057,Florida,Polk,2019-02-01,
215,0.048,Florida,Polk,2017-01-01,
216,0.046,Florida,Polk,2019-12-01,
217,0.083,Florida,Polk,2017-05-01,
218,0.065,Florida,Polk,2016-03-01,
219,0.068,Florida,Polk,2017-04-01,
220,0.045,Florida,Polk,2016-12-01,
221,0.06,Florida,Polk,2016-06-01,
222,0.046,Florida,Polk,2019-11-01,
223,0.052,Florida,Polk,2017-09-01,
224,0.047,Florida,Polk,2019-01-01,
225,0.065,Florida,Polk,2018-03-01,
226,0.074,Florida,Polk,2018-04-01,
227,0.039,Florida,Polk,2019-08-01,
228,0.046,Florida,Polk,2018-09-01,
229,0.049,Florida,Polk,2018-01-01,
230,0.06,Florida,Polk,2018-10-01,
231,0.047,Florida,Polk,2017-08-01,
232,0.055,Florida,Polk,2016-09-01,
233,0.056,Florida,Polk,2017-06-01,
234,0.058,Florida,Polk,2017-02-01,
235,0.039,Florida,Polk,2018-08-01,
236,0.048,Florida,Polk,2017-12-01,
237,0.047,Florida,Polk,2018-02-01,
238,0.068,Florida,Polk,2019-03-01,
239,0.049,Florida,Polk,2019-07-01,
240,0.055,Florida,Polk,2018-06-01,
241,0.048,Florida,Polk,2016-07-01,
242,0.05,Florida,Polk,2017-10-01,
243,0.053,Florida,Polk,2019-10-01,
244,0.054,Florida,Polk,2016-11-01,
245,0.055,Florida,Polk,2018-07-01,
246,0.063,Florida,Polk,2016-04-01,
247,0.049,Florida,Polk,2016-10-01,
248,0.07,Florida,Polk,2019-04-01,
249,0.072,Florida,Polk,2018-05-01,
250,0.046,Florida,Volusia,2016-12-01,
251,0.047,Florida,Volusia,2019-11-01,
252,0.046,Florida,Volusia,2016-07-01,
253,0.054,Florida,Volusia,2019-06-01,
254,0.063,Florida,Volusia,2016-05-01,
255,0.05,Florida,Volusia,2017-12-01,
256,0.054,Florida,Volusia,2019-09-01,
257,0.056,Florida,Volusia,2017-02-01,
258,0.046,Florida,Volusia,2018-01-01,
259,0.055,Florida,Volusia,2018-10-01,
260,0.049,Florida,Volusia,2019-07-01,
261,0.046,Florida,Volusia,2019-12-01,
262,0.062,Florida,Volusia,2017-03-01,
263,0.063,Florida,Volusia,2018-05-01,
264,0.058,Florida,Volusia,2018-06-01,
265,0.045,Florida,Volusia,2016-09-01,
266,0.05,Florida,Volusia,2019-01-01,
267,0.065,Florida,Volusia,2017-04-01,
268,0.053,Florida,Volusia,2016-02-01,
269,0.056,Florida,Volusia,2019-04-01,
270,0.04,Florida,Volusia,2016-08-01,
271,0.064,Florida,Volusia,2018-04-01,
272,0.056,Florida,Volusia,2016-06-01,
273,0.055,Florida,Volusia,2019-05-01,
274,0.056,Florida,Volusia,2016-11-01,
275,0.068,Florida,Volusia,2017-05-01,
276,0.049,Florida,Volusia,2017-07-01,
277,0.064,Florida,Volusia,2018-03-01,
278,0.043,Florida,Volusia,2018-09-01,
279,0.049,Florida,Volusia,2017-01-01,
280,0.045,Florida,Volusia,2018-11-01,
281,0.04,Florida,Volusia,2017-08-01,
282,0.064,Florida,Volusia,2019-03-01,
